branch,acyl_source,acyl_name,exposed_polar_fraction,exposed_hydrophobic_fraction,total_sasa,n_conf_ok,novelty,mw,clogp,inchikey,matches_known,smiles,serum_tolerance_reward,is_novel
notail,polaraxis,polaraxis_ax8_seryl,0.4763,0.5237,789.0,2,0.49,713.6,-7.38,PASMWBXIYZMAOG-RRTOEWFDSA-N,,[H]O[C@@H]1[C@@H](O)[C@H](c2c(O)cc(O)cc2CO)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](COC(=O)[C@@H](N)CO)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,0.4763,True
notail,polaraxis,polaraxis_ax9_polyhydroxy,0.4715,0.5285,838.7,2,0.49,774.7,-8.62,OZZBDMLGERDAAY-QGEMDFNKSA-N,,[H]O[C@@H]1[C@@H](O)[C@H](c2c(O)cc(O)cc2CO)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](COC(=O)[C@H](O)[C@@H](O)[C@H](O)CO)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,0.4715,True
notail,polaraxis,polaraxis_ax7_succinamoyl,0.4628,0.5372,812.5,2,0.471,725.7,-6.43,SQQNRECCLKASON-XVDYJLBTSA-N,,[H]O[C@@H]1[C@@H](O)[C@H](c2c(O)cc(O)cc2CO)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](COC(=O)CCC(N)=O)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,0.4628,True
notail,polaraxis,polaraxis_ax4_glycolyl,0.459,0.541,742.1,2,0.469,684.6,-6.7,XCKBIFULRTZHNS-WRMGPFAZSA-N,,[H]O[C@@H]1[C@@H](O)[C@H](c2c(O)cc(O)cc2CO)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](COC(=O)CO)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,0.459,True
notail,polaraxis,polaraxis_ax6_carboxyethanoyl,0.4525,0.5475,798.0,2,0.466,726.6,-5.83,SNQKPCAZRKPESL-XVDYJLBTSA-N,,[H]O[C@@H]1[C@@H](O)[C@H](c2c(O)cc(O)cc2CO)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](COC(=O)CCC(=O)O)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,0.4525,True
notail,polaraxis,polaraxis_ax11_sulfobenzoyl,0.4454,0.5546,859.2,2,0.482,810.7,-5.14,SEUNWWKOAGNAGS-BWNSMLKKSA-N,,[H]O[C@@H]1[C@@H](O)[C@H](c2c(O)cc(O)cc2CO)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](COC(=O)c2ccc(S(=O)(=O)O)cc2)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,0.4454,True
notail,polaraxis,polaraxis_ax5_diglycolyl,0.4328,0.5672,809.5,2,0.505,728.7,-6.69,QKZDPJHZDBLWTA-ZSWZUPCLSA-N,,[H]O[C@@H]1[C@@H](O)[C@H](c2c(O)cc(O)cc2CO)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](COC(=O)COCCO)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,0.4328,True
notail,polaraxis,polaraxis_ax3_4OH_benzoyl,0.4252,0.5748,816.7,2,0.423,746.7,-4.68,SOZLPGANPDITEX-BWNSMLKKSA-N,,[H]O[C@@H]1[C@@H](O)[C@H](c2c(O)cc(O)cc2CO)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](COC(=O)c2ccc(O)cc2)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,0.4252,True
notail,polaraxis,polaraxis_ax10_aminomethylbenzoyl,0.4163,0.5837,842.8,2,0.455,759.7,-4.92,OLLIPCNDTCCSMV-UQVJUHIMSA-N,,[H]O[C@@H]1[C@@H](O)[C@H](c2c(O)cc(O)cc2CO)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](COC(=O)c2ccc(CN)cc2)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,0.4163,True
notail,design,design_naphthoyl_6OH,0.4042,0.5958,867.2,2,0.435,796.7,-3.52,MPQVLIBPESRKBN-SLNSMJHASA-N,,[H]O[C@@H]1[C@@H](O)[C@H](c2c(O)cc(O)cc2CO)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](COC(=O)c2ccc3cc(O)ccc3c2)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,0.4042,True
notail,polaraxis,polaraxis_ax2_benzoyl,0.402,0.598,815.7,2,0.406,730.7,-4.38,CBEVNIPZISNLSH-BWNSMLKKSA-N,,[H]O[C@@H]1[C@@H](O)[C@H](c2c(O)cc(O)cc2CO)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](COC(=O)c2ccccc2)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,0.402,True
notail,design,design_quinolinecarbonyl,0.3915,0.6085,837.8,2,0.478,781.7,-3.83,KVALRDMESSGJBW-LKCHYZOOSA-N,,[H]O[C@@H]1[C@@H](O)[C@H](c2c(O)cc(O)cc2CO)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](COC(=O)c2ccc3ncccc3c2)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,0.3915,True
notail,design,design_pyridylphenyl,0.3744,0.6256,890.3,2,0.445,807.8,-3.32,XCEILWGIMJVLOM-UBMBDKRFSA-N,,[H]O[C@@H]1[C@@H](O)[C@H](c2c(O)cc(O)cc2CO)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](COC(=O)c2ccc(-c3ccncc3)cc2)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,0.3744,True
notail,design,design_biphenyl,0.3516,0.6484,901.5,2,0.39,806.8,-2.71,FKJJOOQCBIJDHU-KBBHRSJHSA-N,,[H]O[C@@H]1[C@@H](O)[C@H](c2c(O)cc(O)cc2CO)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](COC(=O)c2ccc(-c3ccccc3)cc2)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,0.3516,True
ester,polaraxis,polaraxis_ax9_polyhydroxy,0.3504,0.6496,1206.1,2,0.124,1021.0,-4.51,LJRIOHREDRZJKG-DZPUQGKLSA-N,,CCCCC/C=C/C=C/[C@@H](O)C/C=C/C=C/C(=O)O[C@@H]1[C@@H](O)[C@H](c2c(O)cc(O)cc2CO)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](COC(=O)[C@H](O)[C@@H](O)[C@H](O)CO)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,0.3504,True
ester,polaraxis,polaraxis_ax8_seryl,0.3432,0.6568,1153.0,2,0.105,960.0,-3.27,MAWICJJGERYKIR-AQPKAUOTSA-N,,CCCCC/C=C/C=C/[C@@H](O)C/C=C/C=C/C(=O)O[C@@H]1[C@@H](O)[C@H](c2c(O)cc(O)cc2CO)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](COC(=O)[C@@H](N)CO)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,0.3432,True
ester,polaraxis,polaraxis_ax7_succinamoyl,0.3327,0.6673,1168.1,2,0.093,972.0,-2.32,VYBKDEHPPVMLIB-LVWLAEPYSA-N,,CCCCC/C=C/C=C/[C@@H](O)C/C=C/C=C/C(=O)O[C@@H]1[C@@H](O)[C@H](c2c(O)cc(O)cc2CO)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](COC(=O)CCC(N)=O)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,0.3327,True
ester,polaraxis,polaraxis_ax11_sulfobenzoyl,0.3279,0.6721,1229.9,2,0.117,1057.1,-1.03,QWLBWLLOTCCMGL-ULBIXCISSA-N,,CCCCC/C=C/C=C/[C@@H](O)C/C=C/C=C/C(=O)O[C@@H]1[C@@H](O)[C@H](c2c(O)cc(O)cc2CO)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](COC(=O)c2ccc(S(=O)(=O)O)cc2)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,0.3279,True
ester,polaraxis,polaraxis_ax5_diglycolyl,0.3253,0.6747,1184.2,2,0.13,975.0,-2.58,HSYRKVUJRGZSGE-HIQAUPJSSA-N,,CCCCC/C=C/C=C/[C@@H](O)C/C=C/C=C/C(=O)O[C@@H]1[C@@H](O)[C@H](c2c(O)cc(O)cc2CO)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](COC(=O)COCCO)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,0.3253,True
ester,polaraxis,polaraxis_ax6_carboxyethanoyl,0.3251,0.6749,1177.1,2,0.083,973.0,-1.72,WXONFALQQHPMJH-LVWLAEPYSA-N,,CCCCC/C=C/C=C/[C@@H](O)C/C=C/C=C/C(=O)O[C@@H]1[C@@H](O)[C@H](c2c(O)cc(O)cc2CO)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](COC(=O)CCC(=O)O)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,0.3251,True
ester,polaraxis,polaraxis_ax4_glycolyl,0.3227,0.6773,1110.1,2,0.055,930.9,-2.6,RZNUAAPHNXORJZ-ZXRXNPJBSA-N,,CCCCC/C=C/C=C/[C@@H](O)C/C=C/C=C/C(=O)O[C@@H]1[C@@H](O)[C@H](c2c(O)cc(O)cc2CO)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](COC(=O)CO)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,0.3227,True
notail,polaraxis,polaraxis_ax0_dodecanoyl,0.318,0.682,993.2,2,0.347,808.9,-1.77,KSAWRVYXNGICDS-VNFMUODMSA-N,,[H]O[C@@H]1[C@@H](O)[C@H](c2c(O)cc(O)cc2CO)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](COC(=O)CCCCCCCCCCC)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,0.318,True
ester,polaraxis,polaraxis_ax3_4OH_benzoyl,0.3133,0.6867,1184.2,2,0.031,993.0,-0.57,NGAKHMZZZOEVJN-ULBIXCISSA-N,,CCCCC/C=C/C=C/[C@@H](O)C/C=C/C=C/C(=O)O[C@@H]1[C@@H](O)[C@H](c2c(O)cc(O)cc2CO)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](COC(=O)c2ccc(O)cc2)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,0.3133,True
ester,polaraxis,polaraxis_ax10_aminomethylbenzoyl,0.3102,0.6898,1223.6,2,0.087,1006.1,-0.82,QWIULLKMGINPLP-MEWKNZNDSA-N,,CCCCC/C=C/C=C/[C@@H](O)C/C=C/C=C/C(=O)O[C@@H]1[C@@H](O)[C@H](c2c(O)cc(O)cc2CO)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](COC(=O)c2ccc(CN)cc2)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,0.3102,True
ester,design,design_naphthoyl_6OH,0.3044,0.6956,1246.4,2,0.059,1043.1,0.58,GOYQMHFEUCGGQP-KNEYTPTNSA-N,,CCCCC/C=C/C=C/[C@@H](O)C/C=C/C=C/C(=O)O[C@@H]1[C@@H](O)[C@H](c2c(O)cc(O)cc2CO)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](COC(=O)c2ccc3cc(O)ccc3c2)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,0.3044,True
ester,design,design_quinolinecarbonyl,0.3008,0.6992,1223.9,2,0.13,1028.1,0.27,OYEMTMVRCOKRNI-YXDJGTFZSA-N,,CCCCC/C=C/C=C/[C@@H](O)C/C=C/C=C/C(=O)O[C@@H]1[C@@H](O)[C@H](c2c(O)cc(O)cc2CO)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](COC(=O)c2ccc3ncccc3c2)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,0.3008,True
ester,polaraxis,polaraxis_ax2_benzoyl,0.2983,0.7017,1191.5,2,0.0,977.0,-0.27,DIMQLUQZVZGJDS-KPMCKEOLSA-N,PAPU-0074,CCCCC/C=C/C=C/[C@@H](O)C/C=C/C=C/C(=O)O[C@@H]1[C@@H](O)[C@H](c2c(O)cc(O)cc2CO)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](COC(=O)c2ccccc2)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,0.2983,False
ester,design,design_pyridylphenyl,0.2817,0.7183,1257.0,2,0.078,1054.1,0.79,ZKSIBZPQXGITFB-XWHCRJSRSA-N,,CCCCC/C=C/C=C/[C@@H](O)C/C=C/C=C/C(=O)O[C@@H]1[C@@H](O)[C@H](c2c(O)cc(O)cc2CO)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](COC(=O)c2ccc(-c3ccncc3)cc2)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,0.2817,True
ester,design,design_biphenyl,0.2739,0.7261,1283.4,2,0.0,1053.1,1.39,PXNMTNUVFFXMDM-RIRQAGSXSA-N,PAPU-0080,CCCCC/C=C/C=C/[C@@H](O)C/C=C/C=C/C(=O)O[C@@H]1[C@@H](O)[C@H](c2c(O)cc(O)cc2CO)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](COC(=O)c2ccc(-c3ccccc3)cc2)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,0.2739,False
ester,polaraxis,polaraxis_ax0_dodecanoyl,0.2576,0.7424,1372.7,2,0.0,1055.2,2.33,LJDWBSCMWMABDB-GDHIUOJHSA-N,,CCCCC/C=C/C=C/[C@@H](O)C/C=C/C=C/C(=O)O[C@@H]1[C@@H](O)[C@H](c2c(O)cc(O)cc2CO)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](COC(=O)CCCCCCCCCCC)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,0.2576,True
