qed,sa_score,sa_norm,design_rule_score,n_aromatic_rings_acyl,n_rotbond_acyl,acyl_has_polar,novelty,mw,clogp,ro5_pass,combined_score,acyl_source,acyl_name,inchikey,smiles,matches_known_compound,is_novel
0.028,6.23,0.419,0.812,2,1,True,0.13,1028.1,0.27,False,0.3958,design,quinolinecarbonyl,OYEMTMVRCOKRNI-YXDJGTFZSA-N,CCCCC/C=C/C=C/[C@@H](O)C/C=C/C=C/C(=O)O[C@@H]1[C@@H](O)[C@H](c2c(O)cc(O)cc2CO)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](COC(=O)c2ccc3ncccc3c2)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,,True
0.028,6.26,0.415,0.812,2,1,True,0.059,1043.1,0.58,False,0.3847,design,naphthoyl_6OH,GOYQMHFEUCGGQP-KNEYTPTNSA-N,CCCCC/C=C/C=C/[C@@H](O)C/C=C/C=C/C(=O)O[C@@H]1[C@@H](O)[C@H](c2c(O)cc(O)cc2CO)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](COC(=O)c2ccc3cc(O)ccc3c2)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,,True
0.027,6.24,0.417,0.743,2,2,True,0.078,1054.1,0.79,False,0.3633,design,pyridylphenyl,ZKSIBZPQXGITFB-XWHCRJSRSA-N,CCCCC/C=C/C=C/[C@@H](O)C/C=C/C=C/C(=O)O[C@@H]1[C@@H](O)[C@H](c2c(O)cc(O)cc2CO)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](COC(=O)c2ccc(-c3ccncc3)cc2)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,,True
0.021,6.26,0.416,0.743,2,2,True,0.069,1068.1,0.97,False,0.3598,design,biphenyl_4NH2,MPDJPTYZSVDAJI-JULDFRIXSA-N,CCCCC/C=C/C=C/[C@@H](O)C/C=C/C=C/C(=O)O[C@@H]1[C@@H](O)[C@H](c2c(O)cc(O)cc2CO)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](COC(=O)c2ccc(-c3ccc(N)cc3)cc2)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,,True
0.027,6.25,0.417,0.743,2,2,True,0.0,1069.1,1.1,False,0.3516,data,PAPU-0091,RNTWIGQXQMUZNI-JIBNUADJSA-N,CCCCC/C=C/C=C/[C@@H](O)C/C=C/C=C/C(=O)O[C@@H]1[C@@H](O)[C@H](c2c(O)cc(O)cc2CO)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](COC(=O)c2ccc(-c3ccc(O)cc3)cc2)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,PAPU-0090,False
0.026,6.38,0.402,0.689,2,3,True,0.128,1138.2,1.23,False,0.3486,design,biphenyl_4morpholine,CMVKLGKUXKPGQC-UULNQQJOSA-N,CCCCC/C=C/C=C/[C@@H](O)C/C=C/C=C/C(=O)O[C@@H]1[C@@H](O)[C@H](c2c(O)cc(O)cc2CO)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](COC(=O)c2ccc(-c3ccc(N4CCOCC4)cc3)cc2)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,,True
0.024,6.34,0.407,0.689,2,3,True,0.095,1132.2,0.04,False,0.3441,design,biphenyl_4SO2NH2,HYHIGMJUYKCGGO-JIBNUADJSA-N,CCCCC/C=C/C=C/[C@@H](O)C/C=C/C=C/C(=O)O[C@@H]1[C@@H](O)[C@H](c2c(O)cc(O)cc2CO)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](COC(=O)c2ccc(-c3ccc(S(N)(=O)=O)cc3)cc2)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,,True
0.025,6.29,0.412,0.689,2,3,True,0.059,1096.1,0.49,False,0.34,design,biphenyl_4CONH2,CSTBMWWRNSIENE-JCYLKBBXSA-N,CCCCC/C=C/C=C/[C@@H](O)C/C=C/C=C/C(=O)O[C@@H]1[C@@H](O)[C@H](c2c(O)cc(O)cc2CO)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](COC(=O)c2ccc(-c3ccc(C(N)=O)cc3)cc2)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,,True
0.026,6.28,0.413,0.689,2,3,True,0.05,1097.1,1.09,False,0.339,design,biphenyl_4COOH,SKIQJCOTDVTJAU-JCYLKBBXSA-N,CCCCC/C=C/C=C/[C@@H](O)C/C=C/C=C/C(=O)O[C@@H]1[C@@H](O)[C@H](c2c(O)cc(O)cc2CO)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](COC(=O)c2ccc(-c3ccc(C(=O)O)cc3)cc2)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,,True
0.025,6.33,0.408,0.647,2,4,True,0.076,1110.2,1.45,False,0.3268,design,biphenyl_4CH2NMe2,DHWLFAJUQSRFRL-IGDDTWJISA-N,CCCCC/C=C/C=C/[C@@H](O)C/C=C/C=C/C(=O)O[C@@H]1[C@@H](O)[C@H](c2c(O)cc(O)cc2CO)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](COC(=O)c2ccc(-c3ccc(CN(C)C)cc3)cc2)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,,True
0.016,6.55,0.383,0.57,2,7,True,0.254,1178.2,1.94,False,0.3191,data,PAPU-0136,WCTUPZWXZSWMDN-YHLKLVDCSA-N,C=CCOc1cccc(/C=C/C(=O)Nc2cccc(C(=O)OC[C@H]3O[C@@H](O[C@H]4[C@H](OC(=O)/C=C/C=C/C[C@H](O)/C=C/C=C/CCCCC)[C@@H](O)[C@H](c5c(O)cc(O)cc5CO)O[C@@H]4CO)[C@H](O[C@@H]4O[C@H](CO)[C@H](O)[C@H](O)[C@H]4O)[C@@H](O)[C@H]3O)c2)c1,,True
0.016,6.54,0.385,0.57,2,7,True,0.248,1178.2,1.94,False,0.3186,data,PAPU-0138,LIOZHUQJCQHUSI-CZWNMXNPSA-N,C=CCOc1ccc(/C=C/C(=O)Nc2cccc(C(=O)OC[C@H]3O[C@@H](O[C@H]4[C@H](OC(=O)/C=C/C=C/C[C@H](O)/C=C/C=C/CCCCC)[C@@H](O)[C@H](c5c(O)cc(O)cc5CO)O[C@@H]4CO)[C@H](O[C@@H]4O[C@H](CO)[C@H](O)[C@H](O)[C@H]4O)[C@@H](O)[C@H]3O)c2)cc1,,True
0.018,6.29,0.412,0.612,3,1,False,0.0,1077.1,2.03,False,0.3019,data,PAPU-0079,BFQSOMQYERMSIB-NCFPUACSSA-N,CCCCC/C=C/C=C/[C@@H](O)C/C=C/C=C/C(=O)O[C@@H]1[C@@H](O)[C@H](c2c(O)cc(O)cc2CO)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](COC(=O)c2cc3ccccc3c3ccccc23)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,PAPU-0078,False
0.008,6.92,0.342,0.489,1,6,True,0.243,1185.2,-2.48,False,0.2784,data,PAPU-0125,JKOUYPCODHODSS-YRAABKGISA-N,CCCCC/C=C/C=C/[C@@H](O)C/C=C/C=C/C(=O)O[C@@H]1[C@@H](O)[C@H](c2c(O)cc(O)cc2CO)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](COO[C@@H]2C(O)[C@H](Oc3ccc(C=O)cc3OC)OC(CO)[C@H]2O)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,,True
0.029,6.18,0.424,0.512,2,1,False,0.0,1027.1,0.88,False,0.2727,data,PAPU-0076,LPATZRROLOSIKN-FQTCLXANSA-N,CCCCC/C=C/C=C/[C@@H](O)C/C=C/C=C/C(=O)O[C@@H]1[C@@H](O)[C@H](c2c(O)cc(O)cc2CO)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](COC(=O)c2ccc3ccccc3c2)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,PAPU-0075,False
0.029,6.19,0.424,0.512,2,1,False,0.0,1027.1,0.88,False,0.2726,data,PAPU-0077,IYXZBACIPVGGRE-OUCWALHYSA-N,CCCCC/C=C/C=C/[C@@H](O)C/C=C/C=C/C(=O)O[C@@H]1[C@@H](O)[C@H](c2c(O)cc(O)cc2CO)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](COC(=O)c2cccc3ccccc23)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,PAPU-0076,False
0.023,6.27,0.414,0.512,2,1,False,0.0,1051.1,1.37,False,0.269,data,PAPU-0078,NKFHBJDTAKRWPY-KPKOWNNVSA-N,CCCCC/C=C/C=C/[C@@H](O)C/C=C/C=C/C(=O)O[C@@H]1[C@@H](O)[C@H](c2c(O)cc(O)cc2CO)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](COC(=O)c2ccc3c(c2)-c2ccccc2-3)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,PAPU-0077,False
0.021,6.31,0.41,0.489,3,3,False,0.0,1129.2,3.06,False,0.2594,data,PAPU-0081,CYOSTCDYSHKPOG-DHDAWNHQSA-N,CCCCC/C=C/C=C/[C@@H](O)C/C=C/C=C/C(=O)O[C@@H]1[C@@H](O)[C@H](c2c(O)cc(O)cc2CO)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](COC(=O)c2ccc(-c3ccc(-c4ccccc4)cc3)cc2)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,PAPU-0080,False
0.028,6.18,0.424,0.443,2,2,False,0.0,1053.1,1.39,False,0.2482,data,PAPU-0080,PXNMTNUVFFXMDM-RIRQAGSXSA-N,CCCCC/C=C/C=C/[C@@H](O)C/C=C/C=C/C(=O)O[C@@H]1[C@@H](O)[C@H](c2c(O)cc(O)cc2CO)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](COC(=O)c2ccc(-c3ccccc3)cc2)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,PAPU-0079,False
0.031,6.08,0.436,0.412,1,1,False,0.0,977.0,-0.27,False,0.2407,data,PAPU-0074,DIMQLUQZVZGJDS-KPMCKEOLSA-N,CCCCC/C=C/C=C/[C@@H](O)C/C=C/C=C/C(=O)O[C@@H]1[C@@H](O)[C@H](c2c(O)cc(O)cc2CO)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](COC(=O)c2ccccc2)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,PAPU-0073,False
0.019,6.36,0.405,0.415,3,5,False,0.0,1159.2,2.97,False,0.2317,data,PAPU-0088,PRRANWSWANZOKB-VZVUDRBYSA-N,CCCCC/C=C/C=C/[C@@H](O)C/C=C/C=C/C(=O)O[C@@H]1[C@@H](O)[C@H](c2c(O)cc(O)cc2CO)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](COC(=O)c2ccc(-c3ccc(OCc4ccccc4)cc3)cc2)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,PAPU-0087,False
0.026,6.22,0.42,0.389,2,3,False,0.0,1069.1,1.52,False,0.2281,data,PAPU-0082,AFXLVZOPGHMKSO-KTGCNCNQSA-N,CCCCC/C=C/C=C/[C@@H](O)C/C=C/C=C/C(=O)O[C@@H]1[C@@H](O)[C@H](c2c(O)cc(O)cc2CO)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](COC(=O)c2ccc(Oc3ccccc3)cc2)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,PAPU-0081,False
0.026,6.24,0.418,0.389,2,3,False,0.0,1083.1,1.4,False,0.2276,data,PAPU-0084,CFJRQJCYYGPSRN-PGBQNPJCSA-N,CCCCC/C=C/C=C/[C@@H](O)C/C=C/C=C/C(=O)O[C@@H]1[C@@H](O)[C@H](c2c(O)cc(O)cc2CO)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](COC(=O)c2ccc(-c3ccc(OC)cc3)cc2)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,PAPU-0083,False
0.026,6.25,0.416,0.389,2,3,False,0.0,1081.2,1.95,False,0.2273,data,PAPU-0083,OPCWPPZEELUTNP-HIBDYWNCSA-N,CCCCC/C=C/C=C/[C@@H](O)C/C=C/C=C/C(=O)O[C@@H]1[C@@H](O)[C@H](c2c(O)cc(O)cc2CO)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](COC(=O)c2ccc(-c3ccc(CC)cc3)cc2)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,PAPU-0082,False
0.026,6.26,0.416,0.389,2,3,False,0.0,1083.1,1.4,False,0.2272,data,PAPU-0089,PRDGLNUQULTTDM-QUEDAWRGSA-N,CCCCC/C=C/C=C/[C@@H](O)C/C=C/C=C/C(=O)O[C@@H]1[C@@H](O)[C@H](c2c(O)cc(O)cc2CO)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](COC(=O)c2cccc(-c3ccc(OC)cc3)c2)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,PAPU-0088,False
0.026,6.25,0.416,0.389,2,3,False,0.0,1083.1,1.4,False,0.2272,data,PAPU-0090,ZBSGLBFGXRZKQQ-AELDGGJJSA-N,CCCCC/C=C/C=C/[C@@H](O)C/C=C/C=C/C(=O)O[C@@H]1[C@@H](O)[C@H](c2c(O)cc(O)cc2CO)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](COC(=O)c2ccc(-c3ccccc3OC)cc2)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,PAPU-0089,False
0.027,6.38,0.403,0.389,2,3,False,0.0,1125.2,2.57,False,0.2246,data,PAPU-0086,HLLLMNOFAVSTBM-MRTKXUEVSA-N,CCCCC/C=C/C=C/[C@@H](O)C/C=C/C=C/C(=O)O[C@@H]1[C@@H](O)[C@H](c2c(O)cc(O)cc2CO)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](COC(=O)c2ccc(-c3ccc(OC(C)(C)C)cc3)cc2)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,PAPU-0085,False
0.024,6.3,0.411,0.315,2,5,False,0.0,1111.2,2.18,False,0.1995,data,PAPU-0085,FQYKLSUJOMVTBJ-HWWOHPPWSA-N,CCCCC/C=C/C=C/[C@@H](O)C/C=C/C=C/C(=O)O[C@@H]1[C@@H](O)[C@H](c2c(O)cc(O)cc2CO)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](COC(=O)c2ccc(-c3ccc(OCCC)cc3)cc2)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,PAPU-0084,False
0.029,6.19,0.424,0.247,1,4,False,0.0,1033.1,1.07,False,0.1798,data,PAPU-0075,KVLXHQWDSCGKDV-WIPJFJAHSA-N,CCCCC/C=C/C=C/[C@@H](O)C/C=C/C=C/C(=O)O[C@@H]1[C@@H](O)[C@H](c2c(O)cc(O)cc2CO)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](COC(=O)c2ccc(CCCC)cc2)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,PAPU-0074,False
0.019,6.43,0.396,0.233,2,10,False,0.0,1181.3,4.13,False,0.1664,data,PAPU-0087,MFCVCYIDIOFRLW-ITDJRKQSSA-N,CCCCC/C=C/C=C/[C@@H](O)C/C=C/C=C/C(=O)O[C@@H]1[C@@H](O)[C@H](c2c(O)cc(O)cc2CO)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](COC(=O)c2ccc(-c3ccc(OCCCCCCCC)cc3)cc2)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,PAPU-0086,False
