sar_id,compound_id,parent_compound_id,modification,site,effect_on_enzyme_activity,effect_on_mic,effect_on_in_vivo,effect_on_solubility_or_exposure,hypothesis,evidence_level,text_quote,reference_id,source_table_or_figure,curation_status,curator_note
SAR-1993-KANETO-004,PAPU-0065,,acute tolerability observation,in vivo tolerability,unknown,unknown,no toxic symptoms at 1000 mg/kg,unknown,"Mer-WF3010 had no observed acute toxic symptoms after high-dose intraperitoneal administration, but efficacy and PK were not evaluated",direct_data,Mer-WF3010 did not produce any toxic symptoms in mice at a dose of 1000 mg/kg when administered intraperitoneally.,PAPER-1993-KANETO,Biological Activity text,curated,Do not interpret this as efficacy or exposure proof.
SAR-1995-JACKSON-001,PAPU-0066,PAPU-0067,Fusacandin A versus Fusacandin B potency,whole molecule/congener difference,Fusacandin A stronger,Fusacandin A much stronger than Fusacandin B in Table 1 and Table 2,not tested,unknown,Fusacandin B is a weaker minor congener while Fusacandin A is the main active congener,direct_data,Fusacandin A is considerably more active than fusacandin B.,PAPER-1995-JACKSON,Biological Activity; Table 1; Table 2,curated,Do not infer the structural driver until companion structure paper is curated.
SAR-1995-JACKSON-002,PAPU-0066,PAPU-0002,50% mouse serum activity loss,serum/exposure context,unknown,MIC shifts to >100 ug/mL in 50% mouse serum,not tested,serum_shift_liability,Fusacandin A and Papulacandin B both lose apparent activity in 50% mouse serum under this assay condition,direct_data,The MICs of both fusacandin A and papulacandin B are greatly increased.,PAPER-1995-JACKSON,Table 1; Biological Activity,curated,This directly supports the user-corrected framing: serum-free activity can be reasonable while serum activity drops strongly.
SAR-1995-JACKSON-003,PAPU-0066,PAPU-0002,glucan synthase and whole-cell beta-glucan labeling,target engagement,Fusacandin A inhibits GS but less than Papulacandin B,retains Candida MIC in no-serum broth,not tested,unknown,Fusacandin A has target-linked beta-glucan synthesis inhibition by enzyme curve and whole-cell radiolabeling,direct_data,"Fusacandin A was shown by two methods to be an inhibitor of (1,3)-beta-glucan synthesis.",PAPER-1995-JACKSON,Fig. 6; Table 3; Conclusion,curated,Fig. 6 lacks tabulated IC50; keep enzyme values approximate and emphasize direction.
SAR-1995-JACKSON-004,PAPU-0066,PAPU-0002,sorbitol protection phenotype,cell wall target context,unknown,MIC antagonized by sorbitol,not tested,unknown,Osmotic protection by sorbitol supports a fungal cell-wall target for Fusacandin and Papulacandin B activity,direct_data,The presence of sorbitol antagonized the inhibition of Candida albicans.,PAPER-1995-JACKSON,Table 2; Biological Activity,curated,Cilofungin and amphotericin B controls were not curated as compounds under the Papulacandin-only v0.1 boundary.
SAR-1996-CHEN-001,PAPU-0068,PAPU-0069,"C6' cinnamyl ester versus 2E,4Z-decadienoic ester",C6' short acyl side chain,Saricandin much weaker GS IC50 than PF-1042,Saricandin weaker Candida CCH 442 MIC than PF-1042,not tested,unknown,The C6-prime short acyl side chain identity strongly affects whole-cell and enzyme potency in this matched papulacandin pair,direct_pairwise_data,The activity of saricandin was weaker.,PAPER-1996-CHEN,Fig. 1; Table 2; Biological Activity text,curated,"Pair is structurally close by Fig. 1, but still treat this as literature-derived SAR inference rather than a designed single-site analog experiment."
SAR-1996-CHEN-002,PAPU-0069,PAPU-0002,PF-1042 potency relative to Fusacandin A and Papulacandin B,whole molecule / acyl side-chain combination,"PF-1042 GS IC50 6.5 ug/mL, between Papulacandin B and Fusacandin A in Table 2","PF-1042 MIC 0.49 ug/mL, comparable to Fusacandin A and Papulacandin B",not tested,unknown,PF-1042/BE-29602 preserves strong no-serum Candida activity and beta-glucan synthase inhibition in this assay panel,direct_data,PF-1042 was comparable to fusacandin A and papulacandin B.,PAPER-1996-CHEN,Table 2; Biological Activity text,curated,Do not interpret as serum or in vivo translation evidence; Table 2 is no-serum plus sorbitol protection and enzyme IC50.
SAR-1996-CHEN-003,PAPU-0068,PAPU-0069,sorbitol protection phenotype across papulacandin-related compounds,cell wall target context,higher Saricandin MIC paralleled by higher GS IC50,0.8 M sorbitol rescues growth for saricandin and related compounds,not tested,unknown,Sorbitol antagonism supports a fungal cell-wall mode of action for saricandin and co-tested papulacandin-related compounds,direct_data,Sorbitol could rescue the growth of cells.,PAPER-1996-CHEN,Table 2; Biological Activity text,curated,This is not a serum effect; record separately from the 50% mouse serum liability observed in NO.12.
SAR-1996-MAGOME-001,PAPU-0070,PAPU-0002,chaetiacandin-type benzyl alcohol core without spirocyclic moiety,aryl glycoside core / spiroketal region,not tested,retains marked Candida activity despite lacking the papulacandin B spirocyclic moiety,not tested,unknown,"The classical spirocyclic moiety is not strictly required for strong Candida whole-cell activity, but organism spectrum remains limited",direct_structure_activity_context,furanocandin is of the chaetiacandin type with no spirocyclic moiety.,PAPER-1996-MAGOME,Fig. 1; Table 1; Structure text,curated,This is a rational interpretation combining the structure text and Table 1 activity; no enzyme data were reported in this paper.
SAR-1996-MAGOME-002,PAPU-0070,,beta-D-galactofuranose unit in diglycoside moiety,second sugar / diglycoside core,not tested,active against Candida species but weak against Cryptococcus and Aspergillus in Table 1,not tested,unknown,Galactofuranose-containing papulacandin expands sugar-core diversity for future SAR but does not by itself establish broader spectrum,direct_data,Furanocandin is the compound shown to possess a galactofuranosyl unit.,PAPER-1996-MAGOME,Scheme 3; Table 1; Structure text,curated,Treat as scaffold-diversity evidence; do not over-interpret causal activity contribution without matched analogs.
SAR-1996-MAGOME-003,PAPU-0070,,Candida-selective activity spectrum,organism context,not tested,strong Candida activity but Cryptococcus neoformans and Aspergillus fumigatus MIC >100 ug/mL,not tested,unknown,Furanocandin supports the recurring Papulacandin-family pattern of strong yeast/Candida activity with limited activity against organisms less dependent or less accessible to the same cell-wall target context,direct_data,MIC data are given in Table 1.,PAPER-1996-MAGOME,Table 1,curated,Amphotericin B comparator values were not curated as database compound rows.
SAR-1996-OKADA-001,PAPU-0069,PAPU-0063,"BE-29602 side-chain differences versus L-687,781",C3 long acyl chain and C6' short acyl chain,not directly tested in this paper,retains potent yeast and Candida activity,not tested,unknown,BE-29602 preserves a papulacandin-like active profile despite a chaetiacandin-like C10 short side chain and missing C8/C14 methyl groups on the long side chain,direct_structure_activity_context,"BE-29602 has a spirocyclic diglycoside, but its C10 side chain at C-6' position is identical to that of chaetiacandin.",PAPER-1996-OKADA,Fig. 1; Table 3; Discussion text,curated,"This is cross-natural-product SAR context, not a designed one-change analog experiment."
SAR-1996-OKADA-002,PAPU-0069,,yeast-selective antimicrobial spectrum,organism context,"expected beta-1,3-glucan synthesis inhibition but not measured directly",strong against Candida/Saccharomyces/Schizosaccharomyces but weak or incomplete against several filamentous fungi and bacteria,not tested,unknown,BE-29602 supports the recurring Papulacandin-family pattern of potent yeast activity with limited broad antibacterial or mold activity,direct_data,BE-29602 showed potent growth inhibition against several yeasts.,PAPER-1996-OKADA,Table 3; Biological properties text,curated,Do not enter non-Papulacandin organisms as compounds; they are assay organisms only.
SAR-1996-OKADA-003,PAPU-0069,,P388 mammalian-cell growth inhibition context,selectivity / cytotoxicity context,not tested,Candida MIC values are far below P388 IC50 in this paper,not tested,unknown,"BE-29602 has a useful in vitro fungal-versus-P388 margin in no-serum antimicrobial agar assays, but this is not PK or in vivo efficacy evidence",direct_data,The IC50 was 21 ug/ml.,PAPER-1996-OKADA,Biological properties text; Table 3,curated,Keep cytotoxicity separate from serum-shift liability and animal efficacy translation.
SAR-1996-YEUNG-001,PAPU-0066,PAPU-0002,parent serum-shift liability,serum/protein binding context,not tested,Fusacandin A and Papulacandin B retain no-serum Candida MIC but shift to >100 ug/mL in 50% mouse serum,poor animal-model translation discussed,serum protein binding liability,"Parent papulacandin/fusacandin whole-cell activity can be good without serum, but serum/protein binding sharply reduces apparent activity and may explain poor in vivo conversion.",direct_data,fusacandin was highly protein bound such that in the presence of serum its MIC increased from 0.78 ug/mL to >100 ug/mL.,PAPER-1996-YEUNG,Introduction; Table 1,curated,This reinforces the user-corrected framing; do not describe the class as simply enzyme-active but cell-inactive.
SAR-1996-YEUNG-002,PAPU-0067,PAPU-0066,C-6' side chain removal or minimal acetyl replacement,C6' side chain,not tested,Fusacandin B loses potency and acetyl analog 6b is inactive against all five C. albicans strains,not tested,unknown,A substantial C-6' lipophilic side chain is required for whole-cell Candida MIC in this fusacandin series.,direct_data,the absence of the C-6' sidechain caused a great loss in activity; however simple acyl derivatives such as the acetyl analog 6b were also devoid of activity.,PAPER-1996-YEUNG,Biological Activity; Table 1,curated,This is causal within a semisynthetic series and stronger than cross-natural-product comparison.
SAR-1996-YEUNG-003,PAPU-0073,PAPU-0066,aliphatic C-6' side-chain lengthening,C6' side chain,not tested,Decanoyl 6c and related aliphatic analogs regain some no-serum MIC but remain inactive in 50% serum,not tested,serum_shift_liability remains,Lengthening the aliphatic C-6' acyl chain helps no-serum whole-cell potency but does not solve serum liability.,direct_data,"As the chain was lengthened e.g. decanoyl compound 6c, activity improved. Unfortunately, these analogs were inactive in the presence of serum.",PAPER-1996-YEUNG,Biological Activity; Table 1,curated,Keep no-serum and 50% serum rows separate during modeling.
SAR-1996-YEUNG-004,PAPU-0078,PAPU-0066,rigid fused aromatic C-6' ester,C6' side chain,not tested,Fused aromatic analogs 6f-i become the first derivatives with MIC <100 ug/mL in 50% mouse serum; 6h gives 25 ug/mL across strains,not tested,improved apparent serum activity,Rigid aromatic replacement at C-6' can reduce the severity of serum-associated activity loss while retaining Candida MIC.,direct_data,Expanding the aromatic nucleus led to compounds 6f-i which... were the first derivatives to present activity (<100 ug/mL) in presence of mouse serum assay.,PAPER-1996-YEUNG,Biological Activity; Table 1,curated,6h is a useful benchmark for serum-retained MIC but not an in vivo/PK proof.
SAR-1996-YEUNG-005,PAPU-0084,PAPU-0080,biphenyl and alkoxy-biphenyl C-6' esters,C6' side chain,not tested,Biphenyl/terphenyl and alkoxy-biphenyl analogs show 12.5-25 ug/mL serum MIC values for many strains; authors identify 6n as most active,further PK and in vivo study ongoing,improved apparent serum activity,The biphenyl C-6' ester template is a prioritized scaffold for serum-retained Candida MIC in this paper.,direct_data,The methoxybiphenyl analog 6n was seen as the most active compound in this series and further study... is ongoing.,PAPER-1996-YEUNG,Discussion; Table 1,curated,"The table also shows several close analogs with similar serum MICs; treat 6n as author-prioritized, not uniquely dominant by every strain."
SAR-1996-YEUNG-006,PAPU-0087,PAPU-0084,overlong alkoxy chain or phenolic hydroxy analog,C6' side chain,not tested,"Octyloxy 6q and hydroxy 6u are weaker, especially in serum; methoxy-position regioisomers 6s/6t do not beat 6n",not tested,possible lipophilicity/position optimum,There is an apparent size and substituent-position optimum in the C-6' biphenyl series; simply adding polarity or long hydrophobes is not enough.,direct_data,Lengthening of the alkoxy chain... was compatible with retention of activity until the length approached that of the octyloxy analog 6q.,PAPER-1996-YEUNG,Discussion; Table 1,curated,This SAR is useful for rational side-chain design after exact structures are manually encoded.
SAR-1997-GUNAWARDANA-001,PAPU-0092,PAPU-0002,corynecandin versus Papulacandin B activity profile,whole molecule / papulacandin-type glycolipid,Corynecandin IC50 12.9 ug/mL versus Papulacandin B 1.9 ug/mL,Corynecandin MIC 0.98 ug/mL versus Papulacandin B 1.96 ug/mL in the same C. albicans CCH 442 assay,not tested,unknown,Corynecandin retains strong whole-cell Candida activity despite weaker beta-glucan synthase IC50 than Papulacandin B in this table.,direct_data,Corynecandin was found to have similar potency as an antifungal agent to several other papulacandin-type compounds.,PAPER-1997-GUNAWARDANA,Table 2; Biological activity text,curated,This supports separating whole-cell MIC from enzyme IC50 rather than collapsing them into one potency label.
SAR-1997-GUNAWARDANA-002,PAPU-0092,,sorbitol rescue phenotype,cell wall target context,"retains beta-(1,3)-glucan synthase inhibition",MIC shifts from 0.98 ug/mL without sorbitol to >250 ug/mL with 0.8 M sorbitol,not tested,not serum/exposure data,"Sorbitol rescue supports a fungal cell-wall synthesis/assembly mode of action for Corynecandin, but it should not be interpreted as serum protein binding.",direct_data,Sorbitol could rescue the growth of cells when treated with corynecandin indicating that this compound also inhibits fungal cell wall synthesis and assembly.,PAPER-1997-GUNAWARDANA,Biological activity text; Table 2,curated,Keep this separate from mouse-serum or human-serum activity-loss rows.
SAR-1997-GUNAWARDANA-003,PAPU-0092,,shorter C3 ester chain relative to chaetiacandin,C3 acyl ester,retains glucan synthase inhibitory activity,retains C. albicans MIC activity,not tested,unknown,A shortened or unusual C3 ester chain can still support antifungal and glucan synthase activity in a papulacandin-type glycolipid.,direct_structure_activity_context,The ester chain found at C3 is not found in other glycolipids and corynecandin is the smallest known member of this class to retain antifungal and glucan synthase inhibitory activity.,PAPER-1997-GUNAWARDANA,Structure discussion; Biological activity text,curated,"This is cross-natural-product SAR context, not a one-change analog experiment."
SAR-1997-GUNAWARDANA-004,PAPU-0092,PAPU-0070,chaetiacandin-type aryl glycoside without classical spiroketal,aryl glycoside core / spiroketal region,"retains beta-(1,3)-glucan synthase inhibition",retains strong C. albicans activity,not tested,unknown,Corynecandin reinforces that chaetiacandin-type papulacandin-family scaffolds lacking the classical Papulacandin B spiroketal can retain activity.,direct_structure_activity_context,The structure of 1 differs from that of chaetiacandin in having a shorter ester chain at C3.,PAPER-1997-GUNAWARDANA,Structure discussion; Table 2,curated,"Related to the Furanocandin note, but exact scaffold and side-chain encoding still need manual structure transcription."
SAR-2001-HAMDOUCHI-001,PAPU-0093,PAPU-0068,galactose plus C6 prime short fatty acid removal from Saricandin,galactose;short_acyl,no significant activity in enzyme assay,no significant activity in cell-based assays,not tested,unknown,"For the Saricandin scaffold, the galactose moiety together with the short fatty acid appears essential for antifungal activity.",direct_data,no significant antifungal activity was found,PAPER-2001-HAMDOUCHI,Biological evaluation paragraph,curated,"No numeric MIC or IC50 was reported; keep as qualitative negative SAR, not as a quantitative activity row."
SAR-2001-HAMDOUCHI-002,PAPU-0093,PAPU-0004,Saricandin analog corresponding to Papulacandin D versus natural Papulacandin D,scaffold_context,"abolished in this analog, unlike active Papulacandin D literature comparator",abolished or no significant cell activity in this analog despite active Papulacandin D precedent,not tested,unknown,"Loss of galactose/short acyl is scaffold-dependent: Papulacandin D can remain active, but the analogous Saricandin simplification is inactive.",curated_infer,This is in contrast to the observation in the papulacandin.,PAPER-2001-HAMDOUCHI,Discussion paragraph,curated,Important correction to avoid applying Papulacandin D SAR globally to Saricandin-like scaffolds.
SAR-2001-HAMDOUCHI-003,PAPU-0093,PAPU-0068,retained Saricandin C3 long acyl side chain but removed galactose/short acyl module,C3 long_acyl retained; galactose and C6 prime short_acyl absent,no significant enzyme activity despite retained long acyl chain,no significant cell activity despite retained long acyl chain,not tested,unknown,The Saricandin C3 long acyl side chain alone is insufficient to preserve antifungal activity when the galactose-linked short-acyl module is removed.,direct_data,complete loss of antifungal activity,PAPER-2001-HAMDOUCHI,Discussion paragraph,curated,Useful negative design rule for minimal Saricandin analogs.
SAR-2001-HAMDOUCHI-004,PAPU-0093,,convergent total synthesis enabled analog access but final product inactive,synthetic_access,not quantified,not quantified,not tested,synthetic route enables modification,The convergent route and chiral building block are valuable for analog design even though compound 1 itself is not active.,review_summary,ready accessibility of the chiral building block used in this synthesis along with its adaptability toward structural modifications,PAPER-2001-HAMDOUCHI,Summary paragraph,curated,Capture synthesis relevance separately from activity outcome.
SAR-2002-OHYAMA-001,PAPU-0098,PAPU-0099,papulacandin-type spirocyclic core versus chaetiacandin-type core across B/C/D matched pairs,core skeleton,papulacandin-type B1/C1/D1 IC50 0.1-0.2 ug/mL versus chaetiacandin-type B2/C2/D2 IC50 1-2 ug/mL,Candida MICs do not separate as strongly as enzyme IC50 for several strains,not tested,not reported,The spirocyclic glycoside core skeleton is linked more directly to A. fumigatus glucan synthase inhibition than to every Candida whole-cell MIC.,direct_data,"papulacandin type compounds (3, 5 and 7) were much stronger than chaetiacandin type compounds",PAPER-2002-OHYAMA,Table 3; Table 4; Discussion,curated,Group-level SAR from NO.19; representative compound_id is used to keep this table linkable while the note describes the matched series.
SAR-2002-OHYAMA-002,PAPU-0096,PAPU-0097,enzyme-cell discrepancy between matched papulacandin and chaetiacandin type analogs,core skeleton and cell penetration,B1 and C1 stronger than B2 and C2 in enzyme assay,B1/C1 Candida MICs are almost the same as B2/C2 for several Candida rows,not tested,penetration not measured,"Whole-cell potency may be influenced by membrane penetration or species-specific enzyme sensitivity, so enzyme IC50 should not be substituted for Candida MIC.",direct_data,This discrepancy may be explained by the difference in penetration,PAPER-2002-OHYAMA,Table 3; Table 4; Discussion,curated,Group-level SAR from NO.19; representative compound_id is used to keep this table linkable while the note describes the matched series.
SAR-2002-OHYAMA-003,PAPU-0100,PAPU-0098,C-6 prime R1 chain length from valeryl to hexanoyl within papulacandin-type series,C-6 prime side chain,D1 retains strong enzyme IC50 0.2 ug/mL versus C1 0.1 ug/mL,"D1 MIC is 0.5 ug/mL against three Candida ATCC strains, but remains inactive against C. tropicalis at >128 ug/mL",not tested,not reported,Small C-6 prime acyl-chain changes can tune Candida MIC in strain-dependent ways without rescuing non-Candida spectrum.,curated_infer,Table 4 shows D1 MIC 0.5 ug/mL for ATCC Candida strains and >128 ug/mL for C. tropicalis,PAPER-2002-OHYAMA,Table 3; Table 4; Discussion,curated,Group-level SAR from NO.19; representative compound_id is used to keep this table linkable while the note describes the matched series.
SAR-2002-OHYAMA-004,PAPU-0098,,limited antifungal spectrum despite Candida activity,organism spectrum,not applicable,3 to 8 active against Candida spp. but inactive against Cryptococcus neoformans and Aspergillus fumigatus at >128 ug/mL,not tested,not reported,NO.19 supports strong serum-free Candida whole-cell activity but not broad yeast/mold coverage.,direct_data,"3 to 8 have potent antifungal activities against Candida spp., although they were inactive against Aspergillus fumigatus and Cryptococcus neoformans",PAPER-2002-OHYAMA,Table 3; Table 4; Discussion,curated,Group-level SAR from NO.19; representative compound_id is used to keep this table linkable while the note describes the matched series.
SAR-2002-OHYAMA-005,PAPU-0094,,co-production of papulacandin-type and chaetiacandin-type metabolites in one fermentation broth,biosynthetic diversity,not a potency endpoint,not a potency endpoint,not tested,not reported,"The same Lophodermium fermentation can yield both spirocyclic papulacandin-type and chaetiacandin-type cores, useful for biosynthetic and scaffold-diversity interpretation.",review_summary,first report that papulacandin and chaetiacandin type antibiotics were co-produced in the same fermentation broth,PAPER-2002-OHYAMA,Table 3; Table 4; Discussion,curated,Group-level SAR from NO.19; representative compound_id is used to keep this table linkable while the note describes the matched series.
SAR-2012-VANDERKAADEN-001,PAPU-0102,PAPU-0004,short C6 sorbic acid side chain replacing papulacandin D native side chain,C3 acyl side chain,not tested,no inhibition at the tested range; curated as MIC >100 ug/mL,not tested,not reported,The short sorbic acid side chain is too short to maintain detectable Candida activity in this monoglycoside Papulacandin D mimic.,direct_data,No inhibition was observed for the sorbic acid derivative 48.,PAPER-2012-VANDERKAADEN,Main text biological activity paragraph; Discussion; Scheme 4,curated,NO.21 reports no enzyme assay and no in vivo/PK/serum data; SAR is based on Candida albicans CBS 9975 MIC only.
SAR-2012-VANDERKAADEN-002,PAPU-0103,PAPU-0004,saturated C16 palmitoyl side chain replacing papulacandin D polyunsaturated side chain,C3 acyl side chain,not tested,MIC 88 ug/mL against Candida albicans CBS 9975,not tested,not reported,"A saturated C16 chain can retain weak-to-moderate whole-cell activity in this simplified monoglycoside, despite prior hydrogenated papulacandin D concerns.",direct_data,The saturated palmitic acid derivative 49 was slightly more potent with an MIC of 88 ug/mL.,PAPER-2012-VANDERKAADEN,Main text biological activity paragraph; Discussion; Scheme 4,curated,NO.21 reports no enzyme assay and no in vivo/PK/serum data; SAR is based on Candida albicans CBS 9975 MIC only.
SAR-2012-VANDERKAADEN-003,PAPU-0104,PAPU-0004,C18 linoleoyl side chain with two cis double bonds replacing papulacandin D tetraene side chain,C3 acyl side chain,not tested,MIC 100 ug/mL against Candida albicans CBS 9975,not tested,not reported,Two cis double bonds in a linoleoyl C18 chain preserve only moderate activity compared with natural papulacandin potency.,direct_data,The MIC for the linoleic acid derivative 50 was measured as 100 ug/mL.,PAPER-2012-VANDERKAADEN,Main text biological activity paragraph; Discussion; Scheme 4,curated,NO.21 reports no enzyme assay and no in vivo/PK/serum data; SAR is based on Candida albicans CBS 9975 MIC only.
SAR-2012-VANDERKAADEN-004,PAPU-0105,PAPU-0004,all-trans-retinoic acid side chain replacing papulacandin D native side chain,C3 acyl side chain,not tested,no inhibition at the tested range; curated as MIC >100 ug/mL,not tested,identity uncertain due degradation/aggregation,"The retinoid side chain did not yield useful activity and the final product identity is less secure, so it should be treated as a low-confidence negative analog.",direct_data,No inhibition was observed for the all-trans-retinoic acid derivative 51; no clear NMR or MS spectra were obtained.,PAPER-2012-VANDERKAADEN,Main text biological activity paragraph; Discussion; Scheme 4,curated,NO.21 reports no enzyme assay and no in vivo/PK/serum data; SAR is based on Candida albicans CBS 9975 MIC only.
SAR-2012-VANDERKAADEN-005,PAPU-0103,PAPU-0104,side-chain length and unsaturation scan in papulacandin D monoglycoside mimics,C3 acyl side chain,not tested,palmitoyl 49 MIC 88 ug/mL; linoleoyl 50 MIC 100 ug/mL; sorbyl 48 and retinoyl 51 inactive,not tested,not reported,"In this simplified Papulacandin D series, side-chain identity is crucial, but these substitutions remain only weak/moderate and do not create a potent lead.",curated_infer,The compounds were moderately active at best and the side chains are of crucial importance.,PAPER-2012-VANDERKAADEN,Main text biological activity paragraph; Discussion; Scheme 4,curated,NO.21 reports no enzyme assay and no in vivo/PK/serum data; SAR is based on Candida albicans CBS 9975 MIC only.
SAR-2012-VANDERKAADEN-006,PAPU-0103,,synthetic route enables future aromatic-core and disaccharide variation,synthetic_access,not tested,not a potency endpoint,not tested,route enables analog access,The route is useful for analog design even though the four tested monoglycoside side-chain mimics are weak.,review_summary,The synthetic route will allow future variation of the aromatic core and extension to disaccharide papulacandins.,PAPER-2012-VANDERKAADEN,Main text biological activity paragraph; Discussion; Scheme 4,curated,NO.21 reports no enzyme assay and no in vivo/PK/serum data; SAR is based on Candida albicans CBS 9975 MIC only.
SAR-2015-DESOUZA-001,PAPU-0118,PAPU-0103,replace Papulacandin D spiroketal core with classical 4-formyl-2-methoxyphenyl aryl beta-glucoside,aglycone/spiroketal core,not tested,close analogues 18 and 21 were inactive while the prior spiroketal palmitoyl Papulacandin D mimic 49 had MIC 88 ug/mL,not tested,not reported,Classical aryl glycosides did not replace the Papulacandin D spiroglucoside effectively in this series.,direct_data,"Compounds 18 and 21, close analogues of the papulacandin D were inactive, while papulacandin D derivative 2 showed MIC of 88 ug mL-1",PAPER-2015-DESOUZA,Table 1; Discussion; Conclusion,curated,"NO.23 reports whole-cell Candida MIC only; no enzyme, serum, PK, or in vivo endpoint was reported."
