sar_id,compound_id,parent_compound_id,modification,site,effect_on_enzyme_activity,effect_on_mic,effect_on_in_vivo,effect_on_solubility_or_exposure,hypothesis,evidence_level,text_quote,reference_id,source_table_or_figure,curation_status,curator_note
SAR-2015-DESOUZA-002,PAPU-0107,PAPU-0106,3-formylphenyl aglycone versus 4-formyl-2-methoxyphenyl aglycone,aglycone substituent,not tested,"active compounds 7, 17, and 23 all derive from 3-hydroxybenzaldehyde; 4-formyl-2-methoxyphenyl analogs were inactive",not tested,not reported,The 3-formylphenyl aglycone is associated with the only weak activity in this paper.,direct_data,All the active compounds bear a 3-formylphenyl aglycone while no compound bearing the 4-formyl-2-methoxyphenyl aglycone displayed activity,PAPER-2015-DESOUZA,Table 1; Discussion; Conclusion,curated,"NO.23 reports whole-cell Candida MIC only; no enzyme, serum, PK, or in vivo endpoint was reported."
SAR-2015-DESOUZA-003,PAPU-0107,,peracetylated 3-formylphenyl glucoside without palmitoyl chain,aglycone/sugar protection state,not tested,compound 7 showed Candida albicans MIC 200 ug/mL despite lacking palmitoyl side chain,not tested,may indicate a non-Papulacandin mechanism,"Because compound 7 is active without the palmitoyl chain, its weak activity may not reflect the canonical Papulacandin FKS/glucan-synthase mechanism.",direct_data,"The palmitoyl side chain was not essential to the active compound 7, devoid of such a chain",PAPER-2015-DESOUZA,Table 1; Discussion; Conclusion,curated,"NO.23 reports whole-cell Candida MIC only; no enzyme, serum, PK, or in vivo endpoint was reported."
SAR-2015-DESOUZA-004,PAPU-0117,PAPU-0123,"2,3-di-O-palmitoylation in 3-formylphenyl series",glucose O-2/O-3 acylation,not tested,protected 17 active against Candida tropicalis at 200 ug/mL; deprotected 23 active against Candida albicans at 200 ug/mL,not tested,not reported,"Di-palmitoylation can produce weak species-dependent Candida activity in the 3-formylphenyl series, while mono-palmitoyl analogs were inactive.",direct_data,"two 2,3-diacylated compounds 17 and 23 showed low activity",PAPER-2015-DESOUZA,Table 1; Discussion; Conclusion,curated,"NO.23 reports whole-cell Candida MIC only; no enzyme, serum, PK, or in vivo endpoint was reported."
SAR-2015-DESOUZA-005,PAPU-0123,,weak activity and spectrum limitation,whole-cell spectrum,not tested,only three of eighteen compounds showed MIC 200 ug/mL; all other cells were no significant activity,not tested,not reported,NO.23 supplies mostly negative weak-activity SAR rather than potent Papulacandin-like activity.,curated_infer,Most compounds were inactive and three displayed low antifungal activity,PAPER-2015-DESOUZA,Table 1; Discussion; Conclusion,curated,"NO.23 reports whole-cell Candida MIC only; no enzyme, serum, PK, or in vivo endpoint was reported."
SAR-2015-DESOUZA-006,PAPU-0121,PAPU-0103,deprotected aryl glycoside C3-palmitoyl analog compared with spiroketal palmitoyl mimic,spiroketal replacement,not tested,21 was inactive against all four Candida species whereas prior spiroketal palmitoyl mimic had MIC 88 ug/mL against C. albicans,not tested,not reported,Replacing the benzannulated spiroketal with a simple aryl glycoside is unfavorable even when a palmitoyl chain is retained at O-3.,direct_data,classical aryl glycosides cannot replace the spiro glucoside,PAPER-2015-DESOUZA,Table 1; Discussion; Conclusion,curated,"NO.23 reports whole-cell Candida MIC only; no enzyme, serum, PK, or in vivo endpoint was reported."
SAR-2015-DESOUZA-007,PAPU-0123,,hydrophilic/lipophilic balance within 3-formylphenyl series,whole-molecule polarity/lipophilicity balance,not tested,not all compounds bearing the 3-formylphenyl aglycone were active; authors proposed hydrophilic/lipophilic balance also seems important,not tested,not reported,Activity in this simplified series is not explained by the 3-formylphenyl aglycone alone; whole-molecule hydrophilic/lipophilic balance should be treated as an author-level SAR hypothesis.,direct_data,hydrophilic/lipophilic balance also seems to be important,PAPER-2015-DESOUZA,Discussion; Table 1,curated,"NO.23 reports whole-cell Candida MIC only; no enzyme, serum, PK, or in vivo endpoint was reported. This row records the authors' SAR hypothesis rather than an independently measured physicochemical endpoint."
SAR-2018-SAKAI-001,PAPU-0124,,chaetiacandin-type non-spirocyclic benzyl alcohol core with beta-galactopyranoside,core and sugar moiety,not tested for pestiocandin,C. albicans MIC >256 ug/mL; multidrug-sensitive S. cerevisiae MIC 64-128 ug/mL,not tested,"not tested; soluble in MeOH, acetonitrile, CHCl3 and DMSO but not in H2O",Pestiocandin expands papulacandin-family non-spiro structure space but does not itself demonstrate potent antifungal whole-cell activity.,direct structure plus MIC table,"The paper states that the papulacandin type has a spirocyclic moiety, whereas the chaetiacandin type, including 1, does not.",PAPER-2018-SAKAI,Fig. 1; Table 2,curated,"Treat as papulacandin-class/chaetiacandin-type, not classical Papulacandin B spiroketal."
SAR-2018-SAKAI-002,PAPU-0124,,multidrug-sensitive S. cerevisiae screening strain versus wild-type yeast strains,assay strain susceptibility context,not tested,S. cerevisiae 12geneDelta0HSR-iERG6 MIC 64 ug/mL; BY25929 128 ug/mL; BY4741 and KF237 >256 ug/mL,not tested,not tested,The apparent yeast activity is strongly assay-strain dependent and may reflect permeability or efflux-barrier defects rather than broad wild-type yeast potency.,direct MIC table,The authors state that compound 1 showed more potent growth inhibition against multidrug-sensitive yeasts than wild-type yeasts.,PAPER-2018-SAKAI,Table 2; text after Table 2,curated,Do not pool the sensitized yeast MIC with ordinary Candida MIC without a strain-context feature.
SAR-2018-SAKAI-003,PAPU-0124,,weak Candida and filamentous-fungus activity in YPD assay,whole-cell antifungal spectrum,"not tested; beta-(1,3)-D-glucan synthase inhibition is discussed only as class background",Candida albicans KF1 MIC >256 ug/mL and Mucor racemosus MIC 256 ug/mL,not tested,not tested,Pestiocandin should not be used as evidence that this family always has strong Candida whole-cell potency.,direct MIC table,The authors conclude that compound 1 did not show potent antifungal activity.,PAPER-2018-SAKAI,Table 2; text after Table 2,curated,This is different from the earlier class-level serum-shift issue; here the reported no-serum Candida MIC is weak.
SAR-2018-SAKAI-004,PAPU-0124,,moderate or weak non-Candida antibacterial/fungal spectrum,whole-cell spectrum,not tested,Best Table 2 values are Bacillus subtilis 8 ug/mL and Xanthomonas oryzae pv. oryzae 16 ug/mL; many organisms are 64 to >256 ug/mL,not tested,not tested,The Table 2 profile is weak/broad screening activity rather than a clean Candida-selective antifungal profile.,direct MIC table,"The abstract describes weak growth inhibition against Gram-positive and Gram-negative bacteria, yeasts and a filamentous fungus.",PAPER-2018-SAKAI,Table 2,curated,Useful as spectrum context; not a lead-optimization SAR pair.
SAR-2020-BRETAS-001,PAPU-0125,PAPU-0004,replace Papulacandin D spiroketal with classical aryl O-glycoside and C3 para-allyloxycinnamoylaminobenzoyl ester,spiroketal core and glucose C-3 side chain,"not directly tested; compounds were only proposed as potential beta-(1,3)-D-glucan synthase inhibitors",compound 1 showed no inhibition at 500 ug/mL against the evaluated fungal species,not tested,not tested,The combined loss of the rigid spiroketal core and replacement with an aromatic amide-containing side chain is unfavorable for whole-cell antifungal activity.,direct negative MIC statement plus author interpretation,No inhibition was observed at the highest tested concentration of 500 ug/mL.,PAPER-2020-BRETAS,Figure 2; Scheme 2; Results and Discussion,curated,This extends the negative-SAR pattern for simplified aryl glucosides related to Papulacandin D.
SAR-2020-BRETAS-002,PAPU-0126,PAPU-0004,replace Papulacandin D spiroketal with classical aryl O-glycoside and C3 meta-allyloxycinnamoylaminobenzoyl ester,spiroketal core and glucose C-3 side chain,not directly tested,compound 2 showed no inhibition at 500 ug/mL against the evaluated fungal species,not tested,not tested,Moving the allyloxy substituent from para to meta in this aromatic side chain did not rescue antifungal activity.,direct negative MIC statement,Both compounds were inactive at the highest concentration evaluated (500 ug.mL-1) against all fungal species.,PAPER-2020-BRETAS,Figure 2; Scheme 2; Conclusions,curated,Do not infer a positional SAR preference between compounds 1 and 2 because both are inactive at the top concentration.
SAR-2020-BRETAS-003,PAPU-0125,PAPU-0103,aromatic cinnamoylamide side chain versus prior palmitoyl Papulacandin D simplified analog,glucose C-3 ester side chain,not tested,new analogs 1 and 2 were inactive at >500 ug/mL; prior palmitic acid-based simplified analogs also showed low or no activity,not tested,not tested,Greater aromatic rigidity and lower lipophilicity in the side chain were insufficient; the authors suggest the correct rigidity and lipophilic/hydrophilic balance is essential.,author interpretation plus cross-paper context,The authors state that the side chain is more rigid and less lipophilic than the prototype due to aromatic rings and an amide bond.,PAPER-2020-BRETAS,Results and Discussion,curated,Use as qualitative SAR only; no matched enzyme IC50 was reported.
SAR-2020-BRETAS-004,PAPU-0125,PAPU-0004,assay endpoint is only a top-concentration negative whole-cell screen,assay evidence type,"not measured despite beta-(1,3)-D-glucan synthase design rationale",negative whole-cell result only; no exact MIC below or above 500 ug/mL beyond censored >500 value,not tested,not tested,"This paper should be used as negative whole-cell SAR, not as direct evidence about beta-(1,3)-D-glucan synthase binding or inhibition.",curator interpretation from reported endpoints,"The abstract describes the analogs as potential glucan synthase inhibitors, but the reported biological result is growth inhibition only.",PAPER-2020-BRETAS,Abstract; Results and Discussion,curated,Keep endpoint separation explicit.
SAR-2024-LU-001,PAPU-0130,PAPU-0124,spirocyclic papulacandin core versus pestiocandin-like non-spiro core with the same R1=B/R2=D side-chain mapping,core scaffold,not tested directly,pestiorosin D MIC 0.12 ug/mL and pestiocandin MIC 0.06 ug/mL against C. albicans ATCC 10231,not tested,not tested,Both spiro and non-spiro cores can support sub-ug/mL Candida potency when the B/D side-chain set is present; core status alone is not sufficient to rank activity.,direct Table 3 comparison plus structure figure,Table 3 reports C. albicans MIC 0.12 ug/mL for compound 4 and 0.06 ug/mL for compound 7.,PAPER-2024-LU,Figure 1; Table 3,curated,Use as matched qualitative SAR because 4 and 7 share R1=B/R2=D but differ in core type.
SAR-2024-LU-002,PAPU-0124,,same pestiocandin structure evaluated in different assay/strain contexts across papers,assay context,not tested directly in either pestiocandin paper,"Lu 2024 reports C. albicans ATCC 10231 MIC 0.06 ug/mL, whereas Sakai 2018 reports C. albicans KF1 MIC >256 ug/mL in YPD assay",not tested,not tested,"The large pestiocandin Candida discrepancy should be treated as assay-context evidence rather than duplicate chemistry; medium, strain, and protocol can dominate apparent potency.",cross-paper MIC comparison,Lu 2024 Table 3 gives C. albicans MIC 0.06 ug/mL; Sakai 2018 Table 2 gives C. albicans KF1 MIC >256 ug/mL.,PAPER-2018-SAKAI;PAPER-2024-LU,Lu 2024 Table 3; Sakai 2018 Table 2,curated,Do not collapse these rows during modeling without assay/strain/medium features.
SAR-2024-LU-003,PAPU-0127,PAPU-0124,change galactose C-6' side-chain residue from B in pestiocandin to A or C in pestiorosins A/C,galactose C-6' acyl chain,not tested directly,non-spiro A/D pestiorosin A MIC 0.50 ug/mL and non-spiro C/D pestiorosin C MIC 2.00 ug/mL versus B/D pestiocandin MIC 0.06 ug/mL,not tested,not tested,The galactose C-6' side chain strongly modulates Candida MIC; the B side chain in pestiocandin is favored in this small matched set.,direct Table 3 comparison,"Table 3 reports MIC values 0.50, 2.00, and 0.06 ug/mL for compounds 1, 3, and 7, respectively.",PAPER-2024-LU,Figure 1; Table 3,curated,This is still qualitative because full matched physicochemical context was not separated.
SAR-2024-LU-004,PAPU-0128,PAPU-0124,replace glucose C-3 residue D tetraenoic hydroxy acid with residue E hydroxy dienoic acid while retaining non-spiro R1=B core context,glucose C-3 acyl chain,not tested directly,pestiorosin B MIC 1.00 ug/mL versus pestiocandin MIC 0.06 ug/mL against C. albicans ATCC 10231,not tested,not tested,Greater unsaturation/length pattern in residue D may favor Candida potency relative to residue E in the non-spiro B side-chain context.,direct Table 3 comparison,Table 3 reports MIC 1.00 ug/mL for compound 2 and 0.06 ug/mL for compound 7.,PAPER-2024-LU,Figure 1; Table 3,curated,Interpret cautiously because residue E assignment and full side-chain conformation need manual structure drawing.
SAR-2024-LU-005,PAPU-0127,,antifungal selectivity over tested bacteria,whole-cell spectrum,not tested directly,compounds 1-7 show C. albicans MIC 0.06-2.00 ug/mL but E. coli and S. aureus MIC >128 ug/mL,not tested,not tested,The pestiorosin/pestiocandin set shows a Candida-selective whole-cell profile under the reported CLSI conditions.,direct Table 3 spectrum comparison,Table 3 reports Candida MIC values from 0.06 to 2.00 ug/mL and bacterial MIC values >128 ug/mL.,PAPER-2024-LU,Table 3,curated,This does not prove FKS selectivity because no enzyme or rescue assay was included.
SAR-2024-LU-006,PAPU-0132,,mammalian cytotoxicity context for the most cytotoxic reported pestiorosin/pestiocandin rows,cell selectivity,not tested directly,pestiorosin F Candida MIC 1.00 ug/mL and pestiocandin Candida MIC 0.06 ug/mL; cytotoxic IC50 values are 16.83 uM for pestiorosin F in MCF-7 and 24.51 uM for pestiocandin in BV2,not tested,cytotoxicity observed only at tens of micromolar concentrations for the reported active cell-line pairs,"Mammalian cytotoxicity in this paper is weaker than Candida MIC in molar terms, but it should be tracked separately from serum binding and PK limitations.",direct Table 3 plus Figure 5 comparison,"The paper reports IC50 values below 40 uM only for compounds 3, 6, and 7.",PAPER-2024-LU,Table 3; Figure 5; Table S1 statement,curated,Do not treat MTT cytotoxicity as evidence for or against serum-shift behavior.
SAR-2026-AGUDELORESTREPO-001,PAPU-0133,PAPU-0065,saturated C8 galactosyl C-6' short acyl chain in Papulacandin G versus polyunsaturated short acyl chain in Mer-WF3010,galactosyl C-6' acyl chain,not directly tested,"Papulacandin G MIC 4.1 ug/mL against C. albicans and 8.3 ug/mL against S. pombe; Mer-WF3010 MIC 0.2 and 2.1 ug/mL, respectively",not tested,not tested,Saturating the short C8 side chain preserves antifungal activity but is less favorable than the Mer-WF3010 short-chain pattern in this assay.,direct Table 4 comparison plus structure elucidation,The paper states that compound 1 differs from Mer-WF3010 by absence of the conjugated three-double-bond spin system in the short acyl chain.,PAPER-2026-AGUDELORESTREPO,Figure 4; Table 2; Table 4; structure elucidation text,curated,Keep this as qualitative SAR until full isomeric structures and E/Z geometry are drawn.
SAR-2026-AGUDELORESTREPO-002,PAPU-0004,PAPU-0065,Papulacandin D lacks one acyl chain relative to disaccharide papulacandins such as Mer-WF3010,acyl-chain complement and disaccharide context,not directly tested in this paper,"Papulacandin D was inactive across the Table 4 panel (MIC >66.6 ug/mL), while Mer-WF3010 retained Candida and S. pombe activity",not tested,not tested,"The absence of one acyl chain or major acyl-chain simplification can markedly reduce whole-cell activity, but this should be interpreted with assay context because older Papulacandin D papers report activity.",direct Table 4 negative result plus cross-paper context,The authors state that papulacandin D did not exhibit biological activity against the tested strains.,PAPER-2026-AGUDELORESTREPO,Table 4; activity discussion,curated,Do not overwrite historical Papulacandin D MIC/ED50 rows; model with assay/source features.
SAR-2026-AGUDELORESTREPO-003,PAPU-0065,,Mer-WF3010 production by Garciamycella chlamydospora and G. cyclaminis,producing organism / chemotaxonomy,not tested,Mer-WF3010 showed C. albicans MIC 0.2 ug/mL in this paper,not tested,not tested,"Mer-WF3010 may be a useful chemotaxonomic marker for Garciamycella, but this is source-distribution information rather than target-mechanism evidence.",author interpretation plus direct isolation,The paper states that Mer-WF3010 represents a potential chemotaxonomic marker.,PAPER-2026-AGUDELORESTREPO,activity discussion; conclusion,curated,Useful for source tracking; not a structural potency rule.
SAR-2026-AGUDELORESTREPO-004,PAPU-0133,,spectrum profile of Papulacandin G and Mer-WF3010,whole-cell organism panel,not directly tested; glucan synthase target is literature background only,Papulacandin G and Mer-WF3010 were active against C. albicans and S. pombe; both lacked activity against Gram-negative bacteria and most non-Candida fungi at >66.6 ug/mL,not tested,not tested,The active papulacandins show a yeast/Gram-positive-biased whole-cell spectrum under this protocol rather than broad antimicrobial activity.,direct Table 4 spectrum comparison,Table 4 reports activity only for compounds 1 and 2 among the papulacandins in the tested microorganism panel.,PAPER-2026-AGUDELORESTREPO,Table 4,curated,No serum or protein-binding experiment was reported.
SAR-2026-AGUDELORESTREPO-005,PAPU-0133,,cytotoxicity separation from antifungal activity,mammalian cell selectivity context,not tested,Papulacandin G and Mer-WF3010 have antifungal MICs but no cytotoxic IC50 under the reported threshold for L929 and KB3.1,not tested,not tested; cytotoxicity is not a serum/PK readout,"The lack of cytotoxicity under Table 4 conditions is favorable selectivity context but should not be confused with serum stability, protein binding, or pharmacokinetic translation.",direct Table 4 cytotoxicity rows,Table 4 defines dash as no activity under test conditions with IC50 >37.,PAPER-2026-AGUDELORESTREPO,Table 4,curated,IC50 unit inconsistency in the table footnote should be manually checked.
SAR-2025-WU-001,PAPU-0130,PAPU-0134,Pestiorosin D side-chain pattern versus new Papulacandin F hydroxy C12 short side chain,galactosyl C-6' acyl chain and full acyl-chain complement,not directly tested; glucan synthase mechanism is background only,"Pestiorosin D MIC50 0.57 uM and 92 percent inhibition at 100 uM, while Papulacandin F showed only 3.1 percent inhibition at 100 uM and no MIC50 was tested",not tested,not tested,The exact C-6 prime acyl-chain identity is critical in the fluconazole-resistant Candida assay; the new hydroxy dodecenoic short chain in Papulacandin F is unfavorable relative to Pestiorosin D.,direct Table 2 comparison plus structure elucidation,Table 2 reports compound 1 inhibition 3.1 percent and compound 3 MIC50 0.57 uM.,PAPER-2025-WU,Figure 2; Table 2; activity discussion,curated,Qualitative SAR only; no direct enzyme readout was reported.
SAR-2025-WU-002,PAPU-0135,PAPU-0134,removal of galactosyl C-6' fatty acid in Papulacandin G (Wu 2025),galactosyl C-6' acyl chain,not tested,Papulacandin G (Wu 2025) showed 8.3 percent inhibition at 100 uM and no MIC50 was tested,not tested,not tested,"Loss of the C-6' fatty-acid residue is insufficient for resistant-Candida activity in this assay, even with the spiroketal diglycoside core and C-3 long acyl chain retained.",direct inhibition screen,The paper states that compound 2 differs from 1 by the absence of a fatty acid at C-6' in the beta-galactopyranosyl group.,PAPER-2025-WU,Figure 2; Table 2; structure elucidation text,curated,Do not encode an inferred MIC50 threshold; the source says MIC50 not tested.
SAR-2025-WU-003,PAPU-0131,PAPU-0130,Pestiorosin E shorter C10-like C-6 prime side chain versus Pestiorosin D C12 2E-dodecenoic side chain,galactosyl C-6' acyl chain,not tested,Pestiorosin D MIC50 0.57 uM; Pestiorosin E MIC50 3.8 uM against fluconazole-resistant C. albicans,not tested,not tested,"Pestiorosin D is more potent than Pestiorosin E in this resistant-Candida assay, consistent with the C-6 prime side chain being a major potency determinant.",direct Table 2 comparison,"The paper states that Pestiorosin D and Pestiorosin E showed MIC50 values of 0.57 and 3.8 uM, respectively.",PAPER-2025-WU,Table 2; activity discussion,curated,This agrees directionally with Lu 2024 where pestiorosin D was also more potent than pestiorosin E in C. albicans.
SAR-2025-WU-004,PAPU-0130,,fluconazole-resistant Candida assay context,assay strain/resistance context,not tested directly,Pestiorosin D remained potent against fluconazole-resistant C. albicans with fluconazole MIC >500 ug/mL,not tested,not tested,"Papulacandin-family activity against this fluconazole-resistant isolate supports cross-resistance separation from azoles, but mechanism and clinical translation still require direct testing.",direct resistant-strain MIC50,The methods state the fluconazole-resistant C. albicans had fluconazole MIC >500 ug/mL.,PAPER-2025-WU,Antifungal Activity Assays section; Table 2,curated,No serum/PK/in vivo data and no enzyme assay were reported.
SAR-2025-WU-005,PAPU-0135,PAPU-0133,Papulacandin G naming collision across independent papers,nomenclature/curation,not applicable,not comparable by name because Wu 2025 Papulacandin G and Agudelo-Restrepo 2026 Papulacandin G are different formulas and structures,not applicable,not applicable,"Compound names alone are unsafe keys for this database; use compound_id, formula, source paper, and structural fields for joins.",direct nomenclature conflict,Wu 2025 names compound 2 papulacandin G; Agudelo-Restrepo 2026 previously names a different compound papulacandin G.,PAPER-2025-WU;PAPER-2026-AGUDELORESTREPO,Wu 2025 structure text; Agudelo-Restrepo 2026 structure text,curated,Database canonical names were disambiguated as Papulacandin G (Wu 2025) and Papulacandin G (Agudelo-Restrepo 2026).
SAR-2010-DESOUZA-001,PAPU-0125,PAPU-0118,replace palmitoyl chain with aromatic cadeia 11 cinnamoylamide-benzoyl side chain,glucose O-3,unknown,weak limited activity,unknown,unknown,Replacing the aliphatic palmitoyl ester with the more rigid aromatic cadeia 11 side chain did not restore strong Candida whole-cell potency in the simplified aryl O-glycoside scaffold.,direct_data,Table 69 reports 18b at 200 ug/mL only against Candida tropicalis and >200 ug/mL against the other Candida species.,PAPER-2010-DESOUZA,Figure 8; Table 69; Conclusions,curated,18b maps to existing PAPU-0125 from the later Bretas 2020 paper; thesis table provides earlier MIC50-like data at a lower 200 ug/mL ceiling.
SAR-2010-DESOUZA-002,PAPU-0136,PAPU-0125,"add a second cadeia 11 side chain to make a 2,3-diester",glucose O-2 and O-3,unknown,decreased or no improvement,unknown,unknown,Adding a second bulky aromatic cadeia 11 side chain did not improve Candida activity relative to mono-substituted 18b.,direct_data,"Table 69 reports 19b >200 ug/mL against Candida albicans, C. krusei, C. parapsilosis, and C. tropicalis.",PAPER-2010-DESOUZA,Figure 8; Figure 16; Table 69,curated,Use cautiously because the thesis source is a screenshot excerpt and no detailed assay method is visible.
SAR-2010-DESOUZA-003,PAPU-0123,PAPU-0121,"increase from mono-palmitoyl to 2,3-di-O-palmitoyl 3-formylphenyl analog",glucose O-2 and O-3,unknown,weak limited activity,unknown,unknown,"The 3-formylphenyl 2,3-di-palmitoyl analog showed only weak, species-limited MIC50 activity at 200 ug/mL.",direct_data,Table 69 reports 17b 200 ug/mL against Candida albicans and >200 ug/mL against the other listed Candida species.,PAPER-2010-DESOUZA,Figure 8; Table 69; Conclusions,curated,"There is an internal source conflict: the conclusion text appears to assign 17b activity to Candida tropicalis, but the table places the 200 ug/mL value under Candida albicans. User manual review on 2026-06-08 confirmed the table and conclusion cannot be reconciled, so the SAR note follows Table 69."
SAR-2010-DESOUZA-004,PAPU-0111,PAPU-0109,"4,6-O-benzylidene protection on 3-formylphenyl beta-D-glucoside",glucose O-4/O-6,unknown,weak limited activity,unknown,unknown,"A protected 3-formylphenyl glucoside intermediate showed only borderline MIC50 activity, so protecting-group hydrophobicity alone is not enough to generate strong Papulacandin-like activity.",direct_data,Table 69 reports substance 7 200 ug/mL against Candida albicans and >200 ug/mL against the other listed Candida species.,PAPER-2010-DESOUZA,Figure 8; Table 69; Conclusions,curated,"This is a synthetic intermediate, retained because the thesis activity table explicitly tested it and it remains a Papulacandin D related aryl glucoside."
SAR-2013-BRETAS-001,PAPU-0125,PAPU-0004,simplified aryl O-glycoside analog 1 with aromatic cinnamoylamide side chain,spiroketal core replaced; glucose O-3 side chain,unknown,decreased,unknown,unknown,The simplified aryl O-glycoside analog 1 did not retain measurable whole-cell antifungal activity at 500 ug/mL despite the intended Papulacandin D molecular-simplification design.,direct_data,Section 5.2 states that none of the evaluated compounds was active up to 500 ug/mL.,PAPER-2013-BRETAS,Figure 2.1; Section 5.2,curated,This thesis source supports the later negative result for PAPU-0125/compound 1 and adds tested intermediate context.
SAR-2013-BRETAS-002,PAPU-0138,PAPU-0125,"4,6-O-benzylidene protected precursor of analog 1",glucose O-4/O-6 protection; glucose O-3 ester retained,unknown,no improvement,unknown,unknown,"Keeping the 4,6-O-benzylidene protecting group on the C3 ester precursor did not generate antifungal activity at the 500 ug/mL threshold.",direct_data,Section 5.2 states intermediates 5-8 were also evaluated and no compound was active up to 500 ug/mL.,PAPER-2013-BRETAS,Figure 3.1; Section 5.2,curated,Use as negative whole-cell evidence for protected intermediate 8 only; no enzyme assay was reported.
SAR-2013-BRETAS-003,PAPU-0139,PAPU-0138,move aromatic cadeia 12 ester from glucose O-3 to O-2,glucose O-2 versus O-3,unknown,no improvement,unknown,unknown,"The C2 ester regioisomer 8.1 was also inactive at 500 ug/mL, so this source does not support a favorable O-2 versus O-3 whole-cell activity preference.",direct_data,Section 5.2 explicitly includes the C-2 ester 8.1 among evaluated compounds and states that none was active up to 500 ug/mL.,PAPER-2013-BRETAS,Product 8.1 figure; Section 5.2,curated,This is a negative positional-SAR observation only; all tested values are censored at the same threshold.
SAR-2013-BRETAS-004,PAPU-0140,PAPU-0138,"add a second aromatic cadeia 12 ester to form protected 2,3-diester 8.2",glucose O-2 and O-3,unknown,no improvement,unknown,unknown,"The bulkier protected 2,3-diester 8.2 was inactive at 500 ug/mL, so increasing aromatic side-chain loading did not rescue whole-cell activity.",direct_data,Section 5.2 explicitly includes di-ester 8.2 among evaluated compounds and states that none was active up to 500 ug/mL.,PAPER-2013-BRETAS,Product 8.2 figure; Section 5.2,curated,Protected diester side product related to later deprotected di-cadeia analogs; full SMILES still needs manual drawing.
